"","circunscripcion","organismo","año_mes","Total","SUCESORIOS","EJECUCIONES","ORDINARIOS","SUMARISIMO","COBRO DE PESOS","DESALOJO","INCIDENTES","CAUTELARES","MONITORIOS","INTERDICTOS","PROC.COSTIT.","PREPARATORIOS","BENEF.LITIG.SG.","HOMOLOGACIONES","OTROS"
"83","Nogoyá","Jdo Civ y Com 1 -ccomp.","2024-03","13","4","0","1","1","0","2","0","0","0","0","0","0","0","1","4"
"84","Nogoyá","Jdo Civ y Com 1 -ccomp.","2024-04","21","10","1","2","0","0","1","0","0","0","0","0","0","2","4","1"
"85","Nogoyá","Jdo Civ y Com 1 -ccomp.","2024-05","23","10","1","4","0","0","0","0","0","0","0","0","0","1","0","7"
"86","Nogoyá","Jdo Civ y Com 1 -ccomp.","2024-06","13","10","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
"87","Nogoyá","Jdo Civ y Com 2 -ccomp.","2024-03","21","14","1","1","0","0","0","1","1","0","0","0","0","1","1","1"
"88","Nogoyá","Jdo Civ y Com 2 -ccomp.","2024-04","11","7","2","0","0","0","0","0","0","2","0","0","0","0","0","0"
"89","Nogoyá","Jdo Civ y Com 2 -ccomp.","2024-05","23","9","1","1","0","5","0","0","0","0","0","0","0","2","1","4"
"90","Paraná","Jdo Civ y Com 1","2024-03","35","16","2","4","0","1","0","1","3","1","0","2","0","2","0","3"
"91","Paraná","Jdo Civ y Com 1","2024-04","43","20","6","8","0","0","1","0","2","1","0","1","1","1","0","2"
"92","Paraná","Jdo Civ y Com 1","2024-05","49","21","7","5","0","1","1","1","4","0","0","2","0","3","0","4"
"93","Paraná","Jdo Civ y Com 1","2024-06","43","19","1","4","0","0","1","1","6","0","1","2","0","3","1","4"
"94","Paraná","Jdo Civ y Com 2","2024-03","41","15","3","7","0","0","2","0","0","0","1","2","1","3","0","7"
"95","Paraná","Jdo Civ y Com 2","2024-04","40","18","8","8","1","0","0","0","2","0","0","0","0","2","0","1"
"96","Paraná","Jdo Civ y Com 2","2024-05","40","19","6","4","0","0","1","1","4","0","0","2","0","0","0","3"
"97","Paraná","Jdo Civ y Com 2","2024-06","44","21","5","4","1","1","1","0","2","1","0","1","0","3","0","4"
"98","Paraná","Jdo Civ y Com 3","2024-03","32","17","2","6","0","0","0","0","3","0","0","1","0","1","0","2"
"99","Paraná","Jdo Civ y Com 3","2024-04","48","22","6","6","0","0","1","0","3","0","0","1","0","3","0","6"
"100","Paraná","Jdo Civ y Com 3","2024-05","39","21","2","5","0","0","2","1","1","0","1","1","0","2","0","3"
"101","Paraná","Jdo Civ y Com 3","2024-06","42","18","8","6","1","0","1","0","0","1","0","1","0","1","1","4"
"102","Paraná","Jdo Civ y Com 4","2024-03","26","12","4","5","0","0","0","0","1","0","0","0","0","3","0","1"
"103","Paraná","Jdo Civ y Com 4","2024-04","46","20","7","6","1","0","1","1","2","0","0","2","0","1","1","4"
"104","Paraná","Jdo Civ y Com 4","2024-05","36","16","3","9","0","0","1","0","2","0","0","1","0","3","0","1"
"105","Paraná","Jdo Civ y Com 4","2024-06","33","14","4","6","0","0","0","1","0","0","0","1","0","5","0","2"
"106","Paraná","Jdo Civ y Com 5","2024-03","38","16","3","6","0","0","1","1","1","0","0","1","0","4","0","5"
"107","Paraná","Jdo Civ y Com 5","2024-04","49","20","9","9","0","0","1","0","1","0","0","1","0","3","0","5"
"108","Paraná","Jdo Civ y Com 5","2024-05","40","18","5","6","0","0","1","0","0","0","0","2","0","2","0","6"
"109","Paraná","Jdo Civ y Com 5","2024-06","51","20","12","6","0","1","1","0","2","0","1","1","0","6","0","1"
"110","Paraná","Jdo Civ y Com 6","2024-03","32","15","2","5","0","0","1","0","1","0","0","0","0","3","0","5"
"111","Paraná","Jdo Civ y Com 6","2024-04","40","20","4","6","0","0","1","0","1","0","0","2","0","3","0","3"
"112","Paraná","Jdo Civ y Com 6","2024-05","34","19","2","5","0","0","1","0","1","0","0","1","0","2","0","3"
"113","Paraná","Jdo Civ y Com 6","2024-06","43","24","3","6","1","0","1","0","0","0","0","1","0","3","0","4"
"114","Paraná","Jdo Civ y Com 7","2024-03","35","15","2","6","1","1","0","0","2","0","0","2","0","2","1","3"
"115","Paraná","Jdo Civ y Com 7","2024-04","39","18","5","7","0","0","1","0","1","1","0","1","0","2","0","3"
"116","Paraná","Jdo Civ y Com 7","2024-05","39","19","6","3","0","0","0","1","2","0","0","1","0","2","0","5"
"117","Paraná","Jdo Civ y Com 7","2024-06","52","22","9","8","0","1","1","1","3","0","0","1","0","3","0","3"
"118","Paraná","Jdo Civ y Com 8","2024-03","36","18","6","3","2","0","0","0","4","1","0","0","0","1","0","1"
"119","Paraná","Jdo Civ y Com 8","2024-04","47","22","4","6","1","0","0","3","0","1","1","2","0","5","0","2"
"120","Paraná","Jdo Civ y Com 8","2024-05","47","20","7","9","1","0","0","0","1","0","0","1","1","4","1","2"
"121","Paraná","Jdo Civ y Com 8","2024-06","7","1","3","2","0","0","1","0","0","0","0","0","0","0","0","0"
"122","San Salvador","Jdo Civ y Com Lab Fam","2024-03","18","7","4","1","1","0","0","0","0","2","0","1","0","2","0","0"
"123","San Salvador","Jdo Civ y Com Lab Fam","2024-04","13","8","3","1","0","0","0","0","0","0","0","1","0","0","0","0"
"124","San Salvador","Jdo Civ y Com Lab Fam","2024-05","10","5","3","1","0","0","0","0","0","0","0","0","0","0","0","1"
"125","San Salvador","Jdo Civ y Com Lab Fam","2024-06","16","10","3","0","0","0","0","0","0","2","0","0","0","0","0","1"
"126","Tala","Jdo Civ y Com -ccomp.La","2024-03","22","14","2","0","0","0","0","0","0","0","0","0","0","2","0","4"
"127","Tala","Jdo Civ y Com -ccomp.La","2024-04","27","13","3","4","0","0","1","0","1","0","0","1","0","2","0","2"
"128","Tala","Jdo Civ y Com -ccomp.La","2024-05","25","12","1","4","0","0","2","0","0","1","0","0","0","4","0","1"
"129","Tala","Jdo Civ y Com -ccomp.La","2024-06","24","12","3","5","1","0","0","1","0","0","0","0","0","1","0","1"
"130","Uruguay","Jdo Civ y Com 1","2024-03","44","25","4","6","0","0","1","1","2","0","0","0","0","0","0","5"
"131","Uruguay","Jdo Civ y Com 1","2024-04","34","21","0","4","0","0","0","0","0","0","0","1","0","7","0","1"
